date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:02	17630/17630	---M--	200	added ('OK')	image/png	etag:%2244de-65280d88-f1b331b8a701a6a2;;;%22	https://indiandryfruit.shop/upload/categories/9840230907173846.png	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/9840230907173846.png	(from https://indiandryfruit.shop/)
17:44:03	27100/27100	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:04%20GMT	https://indiandryfruit.shop/single-category/8	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-category/8.html	(from https://indiandryfruit.shop/)
17:44:04	32670/32670	---M--	200	added ('OK')	image/png	etag:%227f9e-65280d88-9e5b45106559862a;;;%22	https://indiandryfruit.shop/upload/categories/1584230907154824.png	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/1584230907154824.png	(from https://indiandryfruit.shop/)
17:44:05	30437/30437	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:06%20GMT	https://indiandryfruit.shop/single-category/13	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-category/13.html	(from https://indiandryfruit.shop/)
17:44:06	20687/20687	---M--	200	added ('OK')	image/png	etag:%2250cf-65280d88-5f32e576e4b77b73;;;%22	https://indiandryfruit.shop/upload/categories/8292230907175005.png	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/8292230907175005.png	(from https://indiandryfruit.shop/)
17:44:08	45114/45114	---M--	200	added ('OK')	image/jpeg	etag:%22b03a-65280d88-456b52a5324b72f4;;;%22	https://indiandryfruit.shop/upload/categories/7744230918201243.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/7744230918201243.jpg	(from https://indiandryfruit.shop/)
17:44:10	191244/191244	---M--	200	added ('OK')	image/jpeg	etag:%222eb0c-65280d88-731e9db6c03c5b96;;;%22	https://indiandryfruit.shop/upload/categories/9874230918201243.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/9874230918201243.jpg	(from https://indiandryfruit.shop/)
17:44:10	319433/319433	---M--	200	added ('OK')	image/png	etag:%224dfc9-65280d88-73545318cfe2123;;;%22	https://indiandryfruit.shop/upload/categories/7068230901104221.png	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/7068230901104221.png	(from https://indiandryfruit.shop/)
17:44:11	833/833	---M-Z	200	added ('OK')	image/svg+xml	etag:%22341-65280d88-2aa9edb07b76537a;gz%22	https://indiandryfruit.shop/assets/website/images/theme/clock.svg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/assets/website/images/theme/clock.svg	(from https://indiandryfruit.shop/)
17:44:11	21116/21116	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:12%20GMT	https://indiandryfruit.shop/single-products/147	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/147.html	(from https://indiandryfruit.shop/)
17:44:13	205031/205031	---M--	200	added ('OK')	image/jpeg	etag:%22320e7-6528aff0-ab75af8b707c6800;;;%22	https://indiandryfruit.shop/upload/product/3028231013024816.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/3028231013024816.jpg	(from https://indiandryfruit.shop/)
17:44:14	3926/3926	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Sep%202023%2010:08:24%20GMT	https://i.ibb.co/t4RsPCf/SwOvZ3r.png	/storage/emulated/0/HTTrack/Websites/Flipkart/i.ibb.co/t4RsPCf/SwOvZ3r.png	(from https://indiandryfruit.shop/)
17:44:14	21129/21129	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:15%20GMT	https://indiandryfruit.shop/single-products/146	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/146.html	(from https://indiandryfruit.shop/)
17:44:15	108877/108877	---M--	200	added ('OK')	image/jpeg	etag:%221a94d-6528af24-cf88b6257031c9fe;;;%22	https://indiandryfruit.shop/upload/product/5398231013024452.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/5398231013024452.jpg	(from https://indiandryfruit.shop/)
17:44:16	21662/21662	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:17%20GMT	https://indiandryfruit.shop/single-products/145	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/145.html	(from https://indiandryfruit.shop/)
17:44:17	60794/60794	---M--	200	added ('OK')	image/jpeg	etag:%22ed7a-6528add7-1187b63b9b31a7d4;;;%22	https://indiandryfruit.shop/upload/product/7561231013023919.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/7561231013023919.jpg	(from https://indiandryfruit.shop/)
17:44:19	22996/22996	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:19%20GMT	https://indiandryfruit.shop/single-products/144	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-products/144.html	(from https://indiandryfruit.shop/)
17:44:20	17283/17283	---M--	200	added ('OK')	image/jpeg	etag:%224383-65280d88-d9c05418b15108b4;;;%22	https://indiandryfruit.shop/upload/product/4673231006081059.jpg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/product/4673231006081059.jpg	(from https://indiandryfruit.shop/)
